 written on  4Sep2026 at 12:17:10 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         637
    1    2    1    1    1    1    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    2    1    1    1    1    2    1

  -16    8    0
    4    5   -0.22767176E-04  0.76310486E-14
    5    5    0.11538354E-04  0.21876164E-13

  -15    7    0
    1    1   -0.20531883E-08  0.30676850E-13
    2    1    0.77479596E-10  0.99729253E-14
    3    1    0.35640542E-09  0.50081467E-14
    4    1   -0.49185524E-14 -0.26353523E-13
    5    1   -0.38500067E-13  0.44492961E-13
    1    2    0.20585064E-08  0.40538753E-13
    2    2   -0.11420358E-08 -0.38188203E-13
    3    2    0.33634510E-09 -0.19619723E-14
    4    2    0.53574676E-13 -0.75666285E-15
    5    2   -0.33195560E-13  0.83776974E-14
    1    3    0.20030367E-10  0.49328597E-13
    2    3   -0.28423956E-08 -0.23639077E-13
    3    3   -0.88806414E-09  0.27935987E-13
    4    3   -0.99368316E-15 -0.36529597E-13
    5    3   -0.83903012E-14 -0.89637548E-14
    1    4    0.82148787E-14 -0.22571262E-14
    2    4    0.34128525E-13  0.47535142E-13
    3    4    0.62313984E-13  0.40154721E-13
    4    4    0.10560552E-04 -0.10972126E-13
    5    4    0.14094459E-04 -0.79797280E-14
    1    5   -0.92318964E-14 -0.65213219E-13
    2    5    0.16013882E-13 -0.84445387E-13
    3    5   -0.62135625E-13  0.49428488E-13
    4    5    0.20605299E-05 -0.39607206E-13
    5    5    0.10560552E-04 -0.42879329E-13

  -15    8    0
    1    1   -0.20531782E-08  0.15581286E-13
    2    1    0.35639427E-09  0.14000953E-13
    3    1    0.77427534E-10  0.18214596E-14
    4    1    0.78382744E-15 -0.16074197E-13
    5    1   -0.73407986E-14  0.60294418E-13
    1    2    0.20037964E-10  0.28735694E-13
    2    2   -0.88807297E-09 -0.10779572E-13
    3    2   -0.28424105E-08  0.11796120E-15
    4    2   -0.76278054E-13 -0.45634469E-13
    5    2   -0.80504484E-13  0.38267922E-14
    1    3    0.20585756E-08 -0.27686187E-14
    2    3    0.33638063E-09  0.12146534E-13
    3    3   -0.11420120E-08  0.51347815E-15
    4    3    0.17616632E-13 -0.16982195E-13
    5    3   -0.20379902E-13 -0.26751414E-13
    1    4    0.50883237E-14  0.20475896E-13
    2    4    0.16545393E-13 -0.28046254E-13
    3    4    0.57545216E-13 -0.73542690E-13
    4    4    0.10560552E-04  0.20969337E-13
    5    4   -0.30958638E-04  0.59167948E-13
    1    5   -0.73411318E-13  0.26744004E-13
    2    5    0.28641118E-13  0.42938745E-13
    3    5   -0.62570967E-13  0.34113456E-13
    4    5   -0.22767175E-04 -0.29049679E-13
    5    5    0.10560552E-04  0.13601533E-13

  -15    9    0
    1    1    0.23210856E-08 -0.29653363E-13
    2    1   -0.13347779E-08 -0.16283849E-13
    3    1    0.78800268E-09 -0.19940646E-13
    4    1   -0.26887573E-13  0.38207859E-14
    5    1    0.22324842E-13 -0.20297198E-13
    1    2   -0.55796790E-09  0.91090330E-14
    2    2    0.24447775E-08  0.48253068E-13
    3    2    0.33610330E-09  0.47722243E-14
    4    2   -0.60433607E-13  0.33632314E-13
    5    2    0.96275799E-13  0.15318197E-14
    1    3   -0.39699159E-09 -0.14042587E-13
    2    3    0.10078480E-08  0.25314820E-13
    3    3    0.64085073E-09  0.87603536E-14
    4    3   -0.85300134E-15 -0.69105223E-13
    5    3    0.87595747E-14  0.43308895E-13
    1    4   -0.38252356E-14 -0.40971492E-13
    2    4    0.97581142E-14 -0.49972797E-14
    3    4    0.85815497E-13 -0.26065182E-13
    4    4    0.11538355E-04 -0.31205073E-13
    5    4    0.14094460E-04  0.36052758E-13
    1    5   -0.31551509E-13  0.63746797E-13
    2    5   -0.56453744E-13 -0.34217460E-13
    3    5   -0.14384778E-13  0.26212530E-14
    4    5   -0.18362108E-05 -0.33757719E-14
    5    5    0.11538355E-04  0.56465249E-14

  -15   10    0
    1    1    0.12212312E-08 -0.10897533E-13
    2    1    0.53125390E-09  0.13074611E-13
    3    1    0.10075916E-08 -0.47154988E-13
    4    1    0.10342842E-12 -0.63418296E-13
    5    1   -0.97678084E-14  0.38552539E-13
    1    2    0.53124222E-09  0.96450625E-15
    2    2    0.12211904E-08  0.16160684E-13
    3    2    0.10075748E-08  0.18396742E-13
    4    2    0.67823342E-13  0.30783393E-13
    5    2    0.66965678E-14 -0.40630078E-14
    1    3    0.59815115E-09  0.59240807E-14
    2    3    0.59813763E-09 -0.10781306E-13
    3    3   -0.26003306E-09 -0.20539126E-14
    4    3    0.53623920E-13 -0.35358745E-13
    5    3   -0.25111380E-13  0.14883622E-13
    1    4   -0.71345014E-13  0.56836973E-14
    2    4    0.48097576E-13  0.60644558E-13
    3    4    0.80762262E-14 -0.17926736E-13
    4    4   -0.29251455E-06 -0.34434695E-13
    5    4   -0.20304190E-04  0.49625234E-13
    1    5   -0.16752083E-13 -0.19741869E-13
    2    5   -0.50326523E-13 -0.14804046E-14
    3    5   -0.56628647E-13  0.22983885E-13
    4    5    0.12280027E-05 -0.81396695E-13
    5    5   -0.29251475E-06  0.24541133E-13

  -14    4    0
    1    1   -0.10390931E-08  0.86250451E-14
    2    1    0.59684226E-09 -0.62415351E-14
    3    1    0.43178490E-08  0.30475622E-13
    4    1    0.39513171E-13  0.41056511E-13
    5    1   -0.79472473E-13 -0.37759944E-13
    1    2   -0.15489073E-08  0.21885271E-13
    2    2    0.83846861E-09  0.21543531E-13
    3    2    0.16769384E-08  0.12274903E-13
    4    2    0.10532913E-13  0.36606503E-13
    5    2   -0.13473529E-13  0.10414690E-15
    1    3   -0.18543710E-08 -0.19685642E-13
    2    3   -0.87575366E-09  0.19140939E-13
    3    3   -0.11668690E-08 -0.17201518E-13
    4    3    0.27946793E-13 -0.43724281E-13
    5    3    0.77274423E-14  0.79627269E-13
    1    4    0.25913646E-13  0.85912215E-13
    2    4   -0.35235060E-13  0.56153281E-13
    3    4    0.13730314E-13 -0.71171668E-13
    4    4   -0.10295232E-05 -0.20635403E-13
    5    4   -0.54021963E-05  0.42335059E-13
    1    5   -0.57807828E-13  0.14260266E-13
    2    5   -0.28521599E-13 -0.45112401E-13
    3    5   -0.31592986E-13  0.85378154E-14
    4    5    0.11959307E-04 -0.57216384E-13
    5    5   -0.10295232E-05  0.21026583E-13

  -14    5    0
    1    1   -0.14272618E-08 -0.23956531E-13
    2    1   -0.39726580E-09  0.20058608E-13
    3    1    0.53016427E-09  0.85383089E-14
    4    1    0.49258403E-13 -0.22212749E-13
    5    1   -0.56430770E-13  0.86807963E-15
    1    2    0.10133331E-08 -0.31166042E-13
    2    2    0.89345744E-09  0.30815628E-13
    3    2   -0.87709183E-09  0.11935765E-13
    4    2   -0.12916496E-13  0.27423751E-13
    5    2   -0.27156229E-13  0.38481218E-13
    1    3   -0.10847549E-08  0.14727802E-14
    2    3   -0.42351912E-09 -0.14740813E-13
    3    3    0.56991679E-09 -0.11379786E-14
    4    3    0.21086531E-13 -0.34964002E-13
    5    3    0.45864837E-14  0.59252420E-13
    1    4    0.27090212E-13 -0.28171415E-13
    2    4    0.43845418E-14  0.35139153E-13
    3    4   -0.31169490E-13  0.11046039E-13
    4    4   -0.15559328E-04  0.55181120E-13
    5    4    0.14888996E-04 -0.27818026E-13
    1    5    0.23389830E-13  0.55452392E-13
    2    5   -0.79899865E-15 -0.61910673E-14
    3    5    0.17822521E-13  0.23425723E-14
    4    5    0.78415882E-05  0.91940344E-14
    5    5   -0.15559328E-04  0.40661918E-14

  -14    6    0
    1    1    0.11084517E-08  0.27935987E-13
    2    1    0.20586794E-08 -0.40543957E-13
    3    1   -0.55869558E-09  0.22537527E-13
    4    1    0.38605705E-14  0.98773008E-13
    5    1   -0.37210742E-14  0.23605085E-13
    1    2   -0.14439018E-09  0.25049407E-14
    2    2   -0.65761917E-10 -0.17350704E-13
    3    2   -0.42295151E-09  0.64583755E-14
    4    2    0.23546485E-13  0.46359588E-13
    5    2   -0.25820700E-14 -0.18577945E-13
    1    3   -0.15982912E-08  0.10770898E-13
    2    3    0.99413376E-09 -0.28884881E-13
    3    3    0.12890877E-09 -0.51035565E-14
    4    3    0.14428890E-13 -0.80670922E-13
    5    3    0.19217834E-13  0.99212948E-13
    1    4   -0.86252141E-14 -0.53370229E-13
    2    4   -0.28933005E-13 -0.51228850E-13
    3    4   -0.30459087E-13 -0.40254212E-13
    4    4    0.39772569E-05  0.23988190E-13
    5    4   -0.66941512E-05  0.50081467E-14
    1    5    0.18410889E-13  0.12760094E-13
    2    5    0.52923355E-13 -0.68268319E-13
    3    5   -0.56773145E-13 -0.21563245E-13
    4    5    0.15414606E-04 -0.21437713E-13
    5    5    0.39772568E-05 -0.69563712E-13

  -14    7    0
    1    1    0.23037942E-08  0.50376370E-14
    2    1    0.20060185E-10 -0.29686323E-13
    3    1    0.20073217E-10 -0.24893282E-14
    4    1   -0.63432110E-13  0.38417057E-13
    5    1    0.49810351E-13 -0.64725868E-13
    1    2   -0.78366852E-09  0.16134663E-13
    2    2    0.99829569E-09 -0.19394208E-13
    3    2    0.99382228E-09  0.17711527E-14
    4    2    0.18395438E-13  0.10707106E-12
    5    2   -0.15549106E-13 -0.41513918E-13
    1    3   -0.78363755E-09  0.50029425E-14
    2    3    0.99386456E-09  0.11770099E-13
    3    3    0.99829441E-09 -0.42674198E-15
    4    3    0.42339805E-13 -0.58672425E-14
    5    3    0.28053816E-13  0.26363428E-13
    1    4   -0.35993443E-13 -0.31978215E-13
    2    4   -0.31477253E-13  0.59578343E-13
    3    4    0.28836368E-13 -0.33928307E-13
    4    4   -0.32020145E-04  0.10493212E-12
    5    4    0.12584201E-04  0.91263802E-14
    1    5   -0.20715584E-16  0.13485484E-12
    2    5   -0.18498358E-13 -0.30607737E-13
    3    5    0.25794952E-13 -0.17884364E-13
    4    5    0.15414606E-04 -0.21690982E-13
    5    5   -0.32020145E-04  0.20951123E-14

  -14    8    0
    1    1    0.11084815E-08 -0.33664044E-13
    2    1   -0.55872151E-09 -0.14177895E-13
    3    1    0.20586380E-08 -0.10493342E-13
    4    1   -0.15726045E-13  0.42898924E-13
    5    1    0.49754626E-13 -0.33299640E-13
    1    2   -0.15982597E-08 -0.15501489E-13
    2    2    0.12888932E-09  0.53498872E-14
    3    2    0.99411794E-09 -0.76327833E-16
    4    2   -0.25634179E-13  0.23447468E-13
    5    2    0.54164525E-13 -0.18221358E-13
    1    3   -0.14435499E-09  0.14406878E-13
    2    3   -0.42292916E-09  0.89685204E-14
    3    3   -0.65743342E-10  0.78097251E-14
    4    3   -0.10728277E-13 -0.59539261E-13
    5    3   -0.42704481E-13  0.76576347E-14
    1    4    0.82714269E-13 -0.10161552E-12
    2    4    0.23816702E-14 -0.26998351E-13
    3    4   -0.15664706E-13 -0.27943269E-13
    4    4    0.39772570E-05  0.76183851E-13
    5    4    0.12584201E-04 -0.73956466E-13
    1    5   -0.10485347E-12  0.66860814E-13
    2    5    0.79235585E-14 -0.68404239E-13
    3    5   -0.59705777E-13 -0.31767527E-14
    4    5    0.78415889E-05  0.18743687E-13
    5    5    0.39772569E-05  0.10828144E-13

  -14    9    0
    1    1   -0.14272634E-08 -0.19217267E-13
    2    1    0.53014613E-09 -0.92738317E-14
    3    1   -0.39727428E-09 -0.26430247E-13
    4    1    0.55471884E-13 -0.26419124E-13
    5    1   -0.32101686E-13 -0.75320267E-14
    1    2   -0.10847491E-08 -0.30513786E-13
    2    2    0.56990082E-09  0.12510826E-13
    3    2   -0.42351798E-09  0.13464924E-13
    4    2    0.42142183E-13  0.62736286E-13
    5    2   -0.30617789E-13 -0.30482083E-13
