size,N,D,nk,nb,min_pz_weight,ratio_full,mean_fN_eV,mean_fL_eV,ratio_diag,ratio_min,ratio_max,ratio_median_pairs
5x5,5,25,625,20,0.7410113461835944,6.445130123841091,6.299991394986059,0.9774808691110594,7.183200017862349,6.109164101287681,7.944208529853868,6.385798623931489
6x6,6,24,576,20,0.507281458538166,9.087989279935528,6.268374333010866,0.6897427076471349,9.919363887864668,8.562680728215764,11.015860229825213,9.011356515815802
7x7,7,28,784,20,0.7126861501447079,12.656662128876818,6.291020501952037,0.49705210093257957,14.102570771960226,12.03537078278912,15.593532840875774,12.537060006252664
8x8,8,32,1024,20,0.5668739332928039,16.426469175893885,6.29235817953237,0.38306212443794735,18.207369134019604,15.649965666539062,20.152539661714894,16.271315622509583
9x9,9,27,729,20,0.7123867750457715,20.44280135341195,6.311413437397803,0.3087352524875175,22.53978772512561,19.12055393975394,24.998315174168255,20.284848689694705
12x12,12,24,576,20,0.507281458538166,36.309206345434944,6.268374333010863,0.17263870417258428,40.338703956238284,33.674748511425214,44.74100442960585,35.97648309625905
