size,R_cut,grid,eta_eV,median_Gamma_Ncells_meV,argmax_E_minus_ED_eV
8x8,2,240,0.05,2459.2511,-1.2385
8x8,3,60,0.01,2487.2747,-1.4064
8x8,3,60,0.02,2498.6945,-1.1966
8x8,3,60,0.05,2425.0189,-1.1966
8x8,3,120,0.01,2482.6674,-1.1826
8x8,3,120,0.02,2478.5956,-1.1826
8x8,3,120,0.05,2464.0650,-1.1966
8x8,3,240,0.01,2479.0382,-1.1834
8x8,3,240,0.02,2478.4724,-1.2385
8x8,3,240,0.05,2462.2114,-1.2385
9x9,0,60,0.01,2477.6861,-0.9096
9x9,0,60,0.02,2624.4769,-0.9096
9x9,0,60,0.05,2662.2497,-1.0406
9x9,0,120,0.01,2549.4441,-0.9096
9x9,0,120,0.02,2597.4508,-1.1159
9x9,0,120,0.05,2615.1014,-1.0250
9x9,0,240,0.01,2543.5696,-0.9096
9x9,0,240,0.02,2596.9154,-1.0699
9x9,0,240,0.05,2610.1570,-1.0699
9x9,1,60,0.01,2435.5687,-1.3567
9x9,1,60,0.02,2433.3451,-1.4063
9x9,1,60,0.05,2388.9801,-1.3567
9x9,1,120,0.01,2487.7379,-1.4096
9x9,1,120,0.02,2485.8568,-1.3567
9x9,1,120,0.05,2461.0239,-1.3567
9x9,1,240,0.01,2498.6186,-1.4096
9x9,1,240,0.02,2488.8991,-1.4074
9x9,1,240,0.05,2458.7526,-1.3759
9x9,2,60,0.01,2477.6930,-1.4064
9x9,2,60,0.02,2436.8412,-1.2528
9x9,2,60,0.05,2431.0245,-1.2528
9x9,2,120,0.01,2462.6298,-1.4096
9x9,2,120,0.02,2458.7433,-1.3564
9x9,2,120,0.05,2450.6546,-1.2813
9x9,2,240,0.01,2475.2371,-1.2918
9x9,2,240,0.02,2466.8378,-1.2918
9x9,2,240,0.05,2449.4912,-1.2778
9x9,3,60,0.01,2483.7439,-1.4064
9x9,3,60,0.02,2493.3531,-1.1964
9x9,3,60,0.05,2415.7629,-1.1964
9x9,3,120,0.01,2480.9153,-1.1825
9x9,3,120,0.02,2475.2067,-1.1825
9x9,3,120,0.05,2456.4069,-1.1964
9x9,3,240,0.01,2473.5145,-1.1833
9x9,3,240,0.02,2473.5466,-1.2384
9x9,3,240,0.05,2455.2694,-1.2384
12x12,0,120,0.01,2538.1871,-0.9095
12x12,0,120,0.02,2590.1742,-1.1160
12x12,0,240,0.01,2531.2426,-1.0174
12x12,0,240,0.02,2585.1923,-1.0699
12x12,1,120,0.01,2462.8063,-1.4097
