size,R_cut,nL,dim,grid,eta_eV,window_eV,E_D_eV,med_ReSigma_meV,mean_ReSigma_meV,med_Gamma_meV,mean_Gamma_meV,med_absReSigma_over_Gamma,med_abs_dReSigma_vs_rc4_meV,max_abs_dReSigma_vs_rc4_meV,med_abs_dGamma_vs_rc4_meV,max_abs_dGamma_vs_rc4_meV,rel_med_dReSigma,rel_med_dGamma,E_res_minus_E_D_eV,n_states
9x9,0,1,5,240,0.02,3.0,-4.238896295455804,515.1727960179204,693.277066667935,2596.9154398088453,3057.955795038292,0.13542544696448022,164.93753305493354,1395.7075930699632,247.78666366351197,3826.397313840217,0.2290150738847875,0.10039965694769688,-1.069881581675019,41266
9x9,1,5,25,240,0.02,3.0,-4.238896295455804,694.1401882760032,832.9172781686027,2488.899130487542,2617.320774513287,0.204917709868672,62.420090167815744,436.12250135177356,114.26546116300251,1286.9459825077874,0.08667003378131241,0.046298751240764144,-1.4073962578424775,41266
9x9,2,13,65,240,0.02,3.0,-4.238896295455804,723.0920012013844,833.5848317864061,2466.837839145483,2685.123233711654,0.22953458195175253,13.223375274038052,144.29335391017295,37.52145936931639,242.8783386062583,0.018360601188217626,0.015203165469679982,-1.291758421858911,41266
9x9,3,29,145,240,0.02,3.0,-4.238896295455804,722.2809676139124,840.1362122316674,2473.5466012090587,2696.145418037337,0.22709523983157615,7.440144171942443,74.37985462772679,15.650826180482857,128.87262750185258,0.01033060902325593,0.006341493752070324,-1.2383875085431422,41266
9x9,4,49,245,240,0.02,3.0,-4.238896295455804,720.2038287571849,836.6744753014866,2468.003090813311,2687.477904585793,0.22796088789586294,0.0,0.0,0.0,0.0,0.0,0.0,-1.291758421852232,41266
