 written on  4Sep2026 at 12:19:36 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         741
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    2    1    1

  -17    8    0
    4    4    0.10910798E-04  0.33188730E-13
    5    4   -0.14120927E-04 -0.17458257E-13
    1    5   -0.37039756E-13 -0.14449669E-13
    2    5    0.54938051E-14 -0.16854599E-14
    3    5    0.75289513E-14  0.21006731E-14
    4    5   -0.68947353E-05  0.57228527E-14
    5    5    0.10910798E-04 -0.28547911E-13

  -16    6    0
    1    1   -0.61885108E-09 -0.24060615E-14
    2    1   -0.40284348E-10 -0.44955359E-14
    3    1   -0.69008798E-10  0.11327744E-14
    4    1    0.99399532E-14  0.13235668E-13
    5    1   -0.36919085E-13 -0.28769085E-13
    1    2    0.47774532E-09  0.37600999E-13
    2    2   -0.11582997E-08  0.24737157E-14
    3    2    0.55871992E-10 -0.66899611E-14
    4    2    0.78406892E-13 -0.16029354E-13
    5    2   -0.40547012E-13  0.20685637E-14
    1    3   -0.10918592E-08  0.92616886E-14
    2    3    0.79683439E-09 -0.21102911E-14
    3    3   -0.31926260E-09 -0.14465859E-13
    4    3   -0.10761074E-13  0.20111510E-13
    5    3    0.14201529E-13  0.26422120E-13
    1    4   -0.44214517E-13 -0.74097607E-14
    2    4    0.37225803E-13  0.27014420E-13
    3    4    0.11196212E-13 -0.79894174E-13
    4    4   -0.73880443E-06 -0.38684767E-13
    5    4   -0.86162545E-06  0.14961990E-13
    1    5    0.41600091E-13  0.56152966E-14
    2    5    0.52617735E-14 -0.48118789E-13
    3    5    0.31438803E-13  0.21403357E-13
    4    5    0.96145476E-05  0.67277781E-13
    5    5   -0.73880485E-06 -0.23001566E-13

  -16    7    0
    1    1   -0.20227201E-08 -0.12224596E-13
    2    1   -0.13027336E-09 -0.71878267E-14
    3    1    0.27512300E-08  0.10859369E-14
    4    1    0.47953436E-13 -0.55174018E-13
    5    1   -0.54546481E-13  0.58185291E-13
    1    2   -0.47785323E-09 -0.48121229E-14
    2    2   -0.49402626E-09 -0.11754486E-13
    3    2    0.79678521E-09  0.18289190E-13
    4    2    0.51153002E-13 -0.25360788E-13
    5    2   -0.69875912E-13  0.36956713E-13
    1    3   -0.59625702E-09 -0.55727992E-14
    2    3   -0.60392610E-09 -0.86389229E-14
    3    3   -0.25381222E-08  0.24331231E-13
    4    3   -0.39765746E-13  0.21557515E-13
    5    3    0.17462370E-13 -0.16827602E-13
    1    4    0.35336689E-14  0.33556295E-13
    2    4   -0.37293534E-13  0.59137781E-14
    3    4   -0.46250236E-13  0.19480564E-13
    4    4   -0.91110691E-05 -0.34057826E-13
    5    4    0.14455955E-05  0.17043658E-13
    1    5    0.25799433E-13 -0.43713337E-13
    2    5    0.21557871E-13 -0.29343892E-13
    3    5    0.19564787E-13 -0.54214826E-13
    4    5   -0.87854783E-06  0.89303565E-14
    5    5   -0.91110690E-05 -0.41250857E-13

  -16    8    0
    1    1   -0.59486160E-09 -0.20188712E-13
    2    1    0.44220497E-09 -0.63889866E-14
    3    1    0.44188524E-09  0.16374055E-13
    4    1    0.37292486E-13 -0.29574952E-13
    5    1   -0.72559825E-13  0.37336265E-13
    1    2   -0.19102358E-09 -0.46863555E-14
    2    2   -0.78501551E-09  0.10581813E-13
    3    2   -0.60394940E-09  0.92174532E-14
    4    2    0.73867194E-13 -0.13885733E-13
    5    2   -0.93756276E-13  0.34636719E-13
    1    3   -0.19158120E-09 -0.10992075E-13
    2    3   -0.60348641E-09  0.35145498E-14
    3    3   -0.78463437E-09  0.12857770E-13
    4    3    0.27587068E-13  0.24728688E-13
    5    3    0.32733929E-13 -0.25754433E-13
    1    4    0.26074300E-14  0.49223214E-13
    2    4    0.36029213E-13 -0.39501638E-14
    3    4   -0.27022429E-13  0.78343471E-13
    4    4    0.12347228E-05 -0.49825595E-14
    5    4    0.70473040E-05  0.26371266E-13
    1    5    0.16715900E-13 -0.51314428E-13
    2    5   -0.72139288E-13  0.13274744E-13
    3    5   -0.46236925E-14 -0.81274508E-13
    4    5   -0.87853388E-06 -0.91246455E-15
    5    5    0.12347226E-05 -0.10212751E-13

  -16    9    0
    1    1   -0.20230517E-08 -0.81601392E-14
    2    1    0.27515099E-08  0.10130785E-13
    3    1   -0.13024097E-09 -0.92139837E-14
    4    1    0.73417682E-15 -0.25059476E-13
    5    1   -0.41669042E-13  0.40918873E-13
    1    2   -0.59617317E-09  0.25526456E-14
    2    2   -0.25395806E-08  0.17520707E-13
    3    2   -0.60343903E-09  0.29013250E-13
    4    2    0.13337460E-13 -0.88409081E-14
    5    2   -0.27704337E-13  0.56673528E-13
    1    3   -0.47696112E-09 -0.87907112E-14
    2    3    0.80001606E-09  0.30878078E-15
    3    3   -0.49589022E-09  0.69631800E-14
    4    3    0.33092004E-13  0.99520274E-13
    5    3   -0.59861304E-13 -0.24722572E-13
    1    4    0.12099954E-13  0.51424932E-13
    2    4    0.51130117E-13  0.26695897E-13
    3    4    0.46337874E-13 -0.65182820E-14
    4    4   -0.91110710E-05 -0.13660080E-13
    5    4    0.70473050E-05  0.55372373E-14
    1    5    0.14084388E-13 -0.10723364E-13
    2    5   -0.23199032E-13  0.26372655E-13
    3    5   -0.26169681E-13  0.20245774E-13
    4    5    0.96145349E-05  0.64717329E-13
    5    5   -0.91110711E-05 -0.44298332E-13

  -16   10    0
    1    1   -0.61954801E-09 -0.18183371E-13
    2    1   -0.68809041E-10 -0.65121519E-14
    3    1   -0.40378397E-10 -0.21059543E-13
    4    1    0.14406443E-13 -0.32840773E-13
    5    1   -0.47264781E-13  0.17708964E-13
    1    2   -0.10925165E-08 -0.18460927E-13
    2    2   -0.32545552E-09  0.50202897E-14
    3    2    0.80007725E-09 -0.91940344E-16
    4    2    0.27208913E-13 -0.57644308E-13
    5    2   -0.16916960E-13  0.13624937E-13
    1    3    0.48120439E-09  0.73855852E-14
    2    3    0.71974791E-10  0.41877092E-13
    3    3   -0.11665299E-08  0.16823348E-13
    4    3   -0.47095878E-13 -0.18044612E-13
    5    3   -0.21668474E-13 -0.26676447E-14
    1    4    0.13670027E-14  0.44298851E-13
    2    4    0.40380484E-14  0.17130924E-13
    3    4    0.26982505E-13 -0.20384085E-13
    4    4   -0.73880240E-06 -0.16748755E-13
    5    4    0.14455891E-05  0.19081958E-14
    1    5    0.39237089E-13  0.25800001E-13
    2    5   -0.22260324E-13  0.36769169E-13
    3    5   -0.10367880E-12  0.17492740E-13
    4    5   -0.39730320E-05 -0.47909593E-13
    5    5   -0.73880232E-06  0.75547207E-15

  -16   11    0
    1    1   -0.61110467E-09  0.10581813E-14
    2    1   -0.84871299E-09  0.59995411E-14
    3    1    0.72042807E-10 -0.62328614E-14
    4    1   -0.18561965E-13  0.39150884E-13
    5    1    0.12033120E-14  0.10422964E-13
    1    2   -0.84876259E-09 -0.22432577E-13
    2    2   -0.61111057E-09 -0.14467594E-14
    3    2    0.72020205E-10 -0.96277153E-15
    4    2    0.37713765E-13 -0.26493682E-13
    5    2   -0.76933093E-13  0.37890920E-13
    1    3    0.96384844E-09  0.17280448E-13
    2    3    0.96380656E-09  0.85886159E-14
    3    3    0.89655007E-09  0.18943180E-13
    4    3   -0.35497006E-13  0.47521806E-13
    5    3    0.27063439E-13  0.13705934E-14
    1    4   -0.14074748E-13  0.82014240E-15
    2    4    0.47575420E-13 -0.33857792E-13
    3    4    0.18819721E-13  0.14144208E-13
    4    4    0.22997746E-05 -0.99065721E-14
    5    4   -0.86161670E-06  0.43661255E-13
    1    5    0.56629046E-13  0.21594710E-14
    2    5   -0.27191908E-15  0.18838361E-13
    3    5    0.70358136E-13 -0.24769604E-13
    4    5    0.82225062E-05 -0.11473461E-13
    5    5    0.22997745E-05 -0.10161143E-13

  -15    4    0
    1    1   -0.79762088E-10 -0.14242080E-13
    2    1    0.10015470E-08  0.99642516E-14
    3    1   -0.16000198E-08  0.27127172E-13
    4    1   -0.63986067E-13  0.41299682E-13
    5    1    0.44215335E-13 -0.24682365E-13
    1    2    0.41056461E-09  0.73031858E-15
    2    2   -0.42527702E-10 -0.12068471E-13
    3    2   -0.14806545E-08  0.17302999E-13
    4    2   -0.36428624E-14  0.14586802E-13
    5    2   -0.24924209E-13 -0.42653571E-13
    1    3    0.28206455E-08 -0.16947381E-13
    2    3   -0.19023879E-09 -0.36177658E-14
    3    3   -0.74108844E-09  0.14398205E-13
    4    3   -0.10089001E-13 -0.13571958E-13
    5    3    0.66324952E-13 -0.31336765E-13
    1    4    0.33594157E-13  0.98883950E-14
    2    4    0.20915493E-13 -0.78757929E-14
    3    4   -0.25782527E-13 -0.44865707E-13
    4    4   -0.33220248E-05 -0.22809662E-13
    5    4    0.13654543E-04 -0.14148405E-13
    1    5    0.28883201E-13  0.38142280E-14
    2    5    0.22629334E-13 -0.26506397E-13
    3    5   -0.18178543E-13  0.35277622E-13
    4    5   -0.49460222E-05  0.35461217E-13
    5    5   -0.33220254E-05  0.18433172E-13

  -15    5    0
    1    1    0.18106763E-08 -0.57245875E-14
    2    1    0.47766842E-09 -0.18172096E-13
    3    1   -0.84130738E-09 -0.25768450E-13
    4    1   -0.32830730E-13  0.28045858E-13
    5    1    0.57348912E-13 -0.73091468E-13
    1    2    0.11559541E-09  0.24521184E-13
    2    2   -0.63819709E-09  0.32885153E-13
    3    2   -0.19029832E-09  0.34174052E-15
    4    2    0.81292133E-14  0.56524834E-14
    5    2    0.58388494E-14 -0.16971446E-13
    1    3   -0.15833512E-09 -0.25058081E-14
    2    3    0.79579066E-09  0.87881091E-14
    3    3    0.18895953E-08 -0.24600114E-13
    4    3   -0.71796015E-15  0.46842709E-13
    5    3    0.36555759E-13 -0.22945500E-13
    1    4   -0.19928905E-13 -0.44859713E-13
    2    4    0.63144215E-13 -0.55018624E-13
    3    4    0.76807372E-13 -0.31382357E-13
    4    4    0.39156588E-05  0.50589307E-13
    5    4   -0.31633806E-05 -0.66027045E-13
    1    5    0.29714063E-13  0.43416955E-13
    2    5   -0.80147448E-13  0.38881582E-13
    3    5   -0.17450196E-13 -0.44393465E-13
    4    5    0.30247180E-05  0.12018164E-13
    5    5    0.39156587E-05  0.30407100E-13

  -15    6    0
    1    1    0.30086636E-08  0.17541524E-13
    2    1   -0.47783371E-09 -0.57592819E-15
